"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"CVST","CVST","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.2-2",NA,"kernlab,Matrix",NA,NA,NA,NA,"GPL (>= 2.0)",NA,NA,NA,NA,"no","3.5.0"
"DAAG","DAAG","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.22",NA,"R (>= 2.10.0), lattice","latticeExtra, methods",NA,"leaps, oz, lme4, quantreg, knitr, boot, rpart, randomForest,
MASS, survival",NA,"GPL-3",NA,NA,NA,NA,"no","3.5.0"
"data.table","data.table","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.12.0",NA,"R (>= 3.1.0)","methods",NA,"bit64, curl, R.utils, knitr, xts, nanotime, zoo",NA,"MPL-2.0 | file LICENSE",NA,NA,NA,NA,"yes","3.5.2"
"data.tree","data.tree","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.7.6",NA,"R (>= 3.0)","R6, stringr, methods, DiagrammeR (>= 1.0.0)",NA,"Formula, graphics, testthat, knitr, rmarkdown, ape, yaml,
networkD3, jsonlite, igraph, treemap, party, partykit,
doParallel, foreach, htmlwidgets","","GPL (>= 2)",NA,NA,NA,NA,"no","3.5.0"
"datapasta","datapasta","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","3.0.0",NA,"R (>= 3.3.0)","readr (>= 1.0.0), clipr (>= 0.3.0), rstudioapi (>= 0.6)",NA,"tibble (>= 1.2), testthat, knitr, rmarkdown, covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.0"
"datasets","datasets","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","3.5.1","base",NA,NA,NA,NA,NA,"Part of R 3.5.1",NA,NA,NA,NA,NA,"3.5.1"
"date","date","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.2-38",NA,NA,"graphics",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","3.5.0"
"DBI","DBI","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.0.0",NA,"R (>= 3.0.0), methods",NA,NA,"blob, covr, hms, knitr, magrittr, rprojroot, rmarkdown,
RSQLite (>= 1.1-2), testthat, xml2",NA,"LGPL (>= 2)",NA,NA,NA,NA,"no","3.5.0"
"DBItest","DBItest","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.5-2",NA,"R (>= 3.0.0)","blob, DBI (>= 0.4-9), desc, hms, methods, R6, testthat (>=
1.0.2), withr",NA,"knitr, lintr, rmarkdown",NA,"LGPL (>= 2)",NA,NA,NA,NA,"no","3.5.0"
"dbplyr","dbplyr","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.2.2",NA,"R (>= 3.2)","assertthat (>= 0.2.0), DBI (>= 0.7), dplyr (>= 0.7.4), glue
(>= 1.2.0), methods, purrr (>= 0.2.4), R6 (>= 2.2.2), rlang (>=
0.1.6), tibble (>= 1.4.1), tidyselect (>= 0.2.2), utils",NA,"bit64, covr, knitr, Lahman (>= 5.0.0), nycflights13 (>=
0.2.2), rmarkdown, RMariaDB (>= 1.0.2), RMySQL (>= 0.10.11),
RPostgreSQL (>= 0.4.1), RSQLite (>= 2.0), testthat (>= 2.0.0),
withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.0"
"ddalpha","ddalpha","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.3.4",NA,"R (>= 2.10), stats, utils, graphics, grDevices, MASS, class,
robustbase, sfsmisc, geometry","Rcpp (>= 0.11.0)","BH, Rcpp",NA,NA,"GPL-2",NA,NA,NA,NA,"yes","3.5.0"
"deldir","deldir","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.1-15",NA,"R (>= 0.99)","graphics, grDevices",NA,"polyclip",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.0"
"dendextend","dendextend","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.8.0",NA,"R (>= 3.0.0)","utils, stats, datasets, magrittr (>= 1.0.1), ggplot2, fpc,
whisker, viridis",NA,"knitr, rmarkdown, testthat, seriation, colorspace, plyr, ape,
profdpm, microbenchmark, gplots, heatmaply, d3heatmap,
dynamicTreeCut, pvclust, corrplot, DendSer, MASS, cluster,
circlize (>= 0.2.5), covr","ggdendro, dendroextras, Hmisc, data.table, rpart","GPL-2 | GPL-3",NA,NA,NA,NA,"no","3.5.0"
"DEoptimR","DEoptimR","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.0-8",NA,NA,"stats",NA,NA,"robustbase","GPL (>= 2)",NA,NA,NA,NA,"no","3.5.0"
"desc","desc","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.2.0",NA,"R (>= 3.1.0)","assertthat, utils, R6, crayon, rprojroot",NA,"covr, testthat, whoami, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.0"
"descr","descr","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.1.4",NA,NA,"xtable, utils, grDevices, graphics, stats",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.0"
"DescTools","DescTools","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.99.24",NA,"base, stats, R (>= 3.3.0)","graphics, grDevices, methods, MASS, utils, boot, manipulate,
mvtnorm, foreign, expm, Rcpp (>= 0.12.10)","Rcpp, BH","RDCOMClient, tcltk",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.0"
"devtools","devtools","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","2.0.1",NA,"R (>= 3.0.2)","callr, cli, digest, git2r (>= 0.23.0), httr (>= 0.4),
jsonlite, memoise (>= 1.0.0), pkgbuild (>= 1.0.2), pkgload (>=
1.0.1), rcmdcheck (>= 1.3.0), remotes (>= 2.0.0), rstudioapi
(>= 0.6.0.9000), sessioninfo, stats, tools, usethis (>= 1.4.0),
utils, withr",NA,"BiocInstaller, BiocManager, bitops, covr (>= 3.2.0), crayon,
curl (>= 0.9), evaluate, foghorn (>= 1.0.1), gmailr (> 0.7.0),
knitr, lintr (>= 0.2.1), mockery, pingr, MASS, pkgdown, Rcpp
(>= 0.10.0), rhub, rmarkdown, roxygen2 (>= 6.1.0), rversions,
spelling (>= 1.1), testthat (>= 1.0.2), whisker",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.5.1"
"dfoptim","dfoptim","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","2018.2-1",NA,"R (>= 2.10.1)",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.5.0"
"DiagrammeR","DiagrammeR","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.0.0",NA,"R (>= 3.2.0)","dplyr (>= 0.7.4), downloader (>= 0.4), glue (>= 1.2.0),
htmltools (>= 0.3.6), htmlwidgets (>= 1.0), igraph (>= 1.1.2),
influenceR (>= 0.1.0), magrittr (>= 1.5), purrr (>= 0.2.4),
RColorBrewer (>= 1.1-2), readr (>= 1.1.1), rlang (>= 0.2.0),
rstudioapi (>= 0.7), rgexf (>= 0.15.3), scales (>= 0.5.0),
stringr (>= 1.3.0), tibble (>= 1.4.2), tidyr (>= 0.8.0),
viridis (>= 0.5.0), visNetwork (>= 2.0.3)",NA,"covr, DiagrammeRsvg, rsvg, knitr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.0"
"dichromat","dichromat","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","2.0-0",NA,"R (>= 2.10), stats",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,NA,"3.5.0"
"diffusionMap","diffusionMap","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.1-0.1",NA,"R (>= 2.4.0)","scatterplot3d, igraph, Matrix",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","3.5.0"
"digest","digest","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.6.18",NA,"R (>= 3.1.0)",NA,NA,"knitr, rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.0"
"dimRed","dimRed","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.1.0",NA,"R (>= 3.0.0), methods, DRR",NA,NA,"MASS, Matrix, RANN, RSpectra, Rtsne, coRanking, diffusionMap,
energy, fastICA, ggplot2, graphics, igraph, kernlab, lle, loe,
optimx, pcaPP, rgl, scales, scatterplot3d, stats, testthat,
tidyr, vegan",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"yes","3.5.0"
"diptest","diptest","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.75-7",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.0"
"directlabels","directlabels","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","2018.05.22",NA,NA,"grid, quadprog",NA,"MASS, inlinedocs, ggplot2 (>= 2.0), rlang, lattice,
alphahull, nlme, ElemStatLearn, lars, latticeExtra, dplyr",NA,"GPL-3",NA,NA,NA,NA,"no","3.5.0"
"disposables","disposables","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.0.3",NA,"methods","utils",NA,"covr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.0"
"DistributionUtils","DistributionUtils","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.5-1",NA,"R (>= 2.3.0), RUnit",NA,NA,"GeneralizedHyperbolic, VarianceGamma, SkewHyperbolic",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.0"
"dlm","dlm","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.1-5",NA,NA,"stats, utils, methods, grDevices, graphics",NA,"MASS",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.0"
"doParallel","doParallel","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.0.11",NA,"R (>= 2.14.0), foreach(>= 1.2.0), iterators(>= 1.0.0),
parallel, utils",NA,NA,"caret, mlbench, rpart","compiler, RUnit","GPL-2",NA,NA,NA,NA,"no","3.5.0"
"downloader","downloader","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.4",NA,NA,"utils, digest",NA,"testthat",NA,"GPL-2",NA,NA,NA,NA,"no","3.5.0"
"dplyr","dplyr","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.7.8",NA,"R (>= 3.1.2)","assertthat (>= 0.2.0), bindrcpp (>= 0.2.0.9000), glue (>=
1.1.1), magrittr (>= 1.5), methods, pkgconfig (>= 2.0.1), R6
(>= 2.2.2), Rcpp (>= 0.12.19), rlang (>= 0.3.0), tibble (>=
1.4.2), tidyselect (>= 0.2.3), utils","BH (>= 1.58.0-1), bindrcpp (>= 0.2.0.9000), plogr (>=
0.1.10), Rcpp (>= 0.12.15)","bit64 (>= 0.9.7), callr, covr (>= 3.0.1), DBI (>= 0.7.14),
dbplyr (>= 1.2.0), dtplyr (>= 0.0.2), ggplot2 (>= 2.2.1), hms
(>= 0.4.1), knitr (>= 1.19), Lahman (>= 3.0-1), lubridate,
MASS, mgcv (>= 1.8.23), microbenchmark (>= 1.4.4), nycflights13
(>= 0.2.2), rmarkdown (>= 1.8), RMySQL (>= 0.10.13),
RPostgreSQL (>= 0.6.2), RSQLite (>= 2.0), testthat (>= 2.0.0),
withr (>= 2.1.1)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.5.0"
"DRR","DRR","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.0.3",NA,"kernlab, CVST, Matrix","stats, methods",NA,"knitr, rmarkdown",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","3.5.0"
"DT","DT","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.4",NA,NA,"htmltools (>= 0.3.6), htmlwidgets (>= 1.0), magrittr,
crosstalk",NA,"jsonlite (>= 0.9.16), knitr (>= 1.8), rmarkdown, shiny (>=
0.12.1)",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","3.5.0"
"dtplyr","dtplyr","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.0.2",NA,NA,"dplyr (>= 0.5.0), data.table, lazyeval",NA,"Lahman, nycflights13, testthat, covr",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.5.0"
"dtt","dtt","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.1-2",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.5.0"
"dygraphs","dygraphs","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.1.1.6",NA,"R (>= 3.0)","magrittr, htmlwidgets (>= 0.6), htmltools (>= 0.3.5), zoo (>=
1.7-10), xts (>= 0.9-7)",NA,"testthat","rmarkdown (>= 0.3.3), shiny (>= 0.10.2.1)","MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.0"
"dynlm","dynlm","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.3-5",NA,"R (>= 2.10.0), zoo","stats, car (>= 2.0-0), lmtest",NA,"datasets, sandwich, strucchange, TSA",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","3.5.0"
"e1071","e1071","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.7-0",NA,NA,"graphics, grDevices, class, stats, methods, utils",NA,"cluster, mlbench, nnet, randomForest, rpart, SparseM, xtable,
Matrix, MASS",NA,"GPL-2",NA,NA,NA,NA,"yes","3.5.0"
"earth","earth","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","4.6.3",NA,"R (>= 3.2.0), plotmo (>= 3.3.4), TeachingDemos (>= 2.10)",NA,NA,"gam (>= 1.14-4), mgcv (>= 1.8-22), mda (>= 0.4-10), MASS (>=
7.3-47)",NA,"GPL-3",NA,NA,NA,NA,"yes","3.5.0"
"Ecdat","Ecdat","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.3-1",NA,"R (>= 2.10), Ecfun",NA,NA,"",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.5.0"
"Ecfun","Ecfun","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.1-7",NA,"R (>= 3.0.1)","fda, gdata, RCurl, XML, tis, jpeg, MASS, TeachingDemos,
stringi, methods",NA,"BMA, car, DescTools, Ecdat, maps, grid, gridBase, pryr, knitr",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.5.0"
"effects","effects","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","4.0-2",NA,"R (>= 3.2.0), carData","lme4, nnet, lattice, grid, colorspace, graphics, grDevices,
stats, survey, utils, estimability",NA,"pbkrtest (>= 0.4-4), nlme, MASS, poLCA, heplots, splines,
ordinal, car, knitr",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.5.0"
"egg","egg","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.4.0",NA,"gridExtra (>= 2.3), ggplot2","gtable, grid, grDevices, stats, utils",NA,"knitr, png",NA,"GPL-3",NA,NA,NA,NA,"no","3.5.0"
"ellipse","ellipse","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.4.1",NA,"R (>= 2.0.0),graphics,stats",NA,NA,"MASS",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.5.0"
"emmeans","emmeans","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.2.3",NA,"R (>= 3.2)","estimability (>= 1.3), graphics, methods, stats, utils, plyr,
mvtnorm, xtable (>= 1.8-2)",NA,"bayesplot, brms, car, coda (>= 0.17), ggplot2, lattice,
mediation, multcomp, multcompView, nlme, ordinal, pbkrtest (>=
0.4-1), lme4, lmerTest (>= 2.0.32), MASS, rsm, knitr,
rmarkdown, testthat","CARBayes, coxme, gee, geepack, glmmADMB, MCMCglmm, MCMCpack,
nnet, pscl, rstanarm, survival","GPL-2 | GPL-3",NA,NA,NA,NA,"no","3.5.0"
"enc","enc","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.2.0",NA,"R (>= 3.1)","methods",NA,"digest, pillar, readr, rlang, testthat, withr",NA,"GPL-3",NA,NA,NA,NA,"yes","3.5.0"
"energy","energy","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.7-4",NA,NA,"Rcpp (>= 0.12.6), stats, boot","Rcpp","MASS",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.0"
"english","english","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.1-3",NA,NA,NA,NA,"utils",NA,"GPL-2",NA,NA,NA,NA,"no","3.5.0"
"epanet2toolkit","epanet2toolkit","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.3.2",NA,NA,NA,NA,"testthat, epanetReader",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.5.0"
"epanetReader","epanetReader","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.7.3",NA,"R (>= 3.0.0), graphics, utils",NA,NA,"testthat, epanet2toolkit, data.table (>= 1.11.2)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.0"
"ergm","ergm","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","3.8.0",NA,"statnet.common (>= 4.0.0), network (>= 1.13)","robustbase (>= 0.9-10), coda (>= 0.18-1), trust, Matrix,
lpSolve, parallel, methods, MASS",NA,"lattice, latticeExtra, sna, latentnet, rmarkdown,
ergm.userterms, tergm, Rmpi",NA,"GPL-3 + file LICENSE",NA,NA,NA,NA,"yes","3.5.0"
"ergm.count","ergm.count","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","3.2.2",NA,"statnet.common (>= 3.1), ergm (>= 3.4), network",NA,"ergm",NA,NA,"GPL-3 + file LICENSE",NA,NA,NA,NA,"yes","3.5.0"
"estimability","estimability","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.3",NA,"stats",NA,NA,NA,NA,"GPL (>= 3)",NA,NA,NA,NA,"no","3.5.0"
"evaluate","evaluate","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.13",NA,"R (>= 3.0.2)","methods",NA,"testthat, lattice, ggplot2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.2"
"expm","expm","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.999-2",NA,"Matrix","methods",NA,"RColorBrewer, sfsmisc, Rmpfr",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.0"
"ExPosition","ExPosition","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","2.8.19",NA,"prettyGraphs (>= 2.1.4)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","3.5.0"
"expsmooth","expsmooth","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","2.3",NA,"R (>= 2.0.0), forecast",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.5.0"
"extrafont","extrafont","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.17",NA,"R (>= 2.15)","extrafontdb, grDevices, utils, Rttf2pt1",NA,"fontcm",NA,"GPL-2",NA,NA,NA,NA,"no","3.5.0"
"extrafontdb","extrafontdb","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.0",NA,"R (>= 2.14)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,NA,"3.5.0"
"FactoMineR","FactoMineR","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.41",NA,"R (>= 3.0.0)","car,cluster,ellipse,flashClust,graphics,grDevices,lattice,leaps,MASS,scatterplot3d,stats,utils",NA,"missMDA,knitr",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.5.0"
"fansi","fansi","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.4.0",NA,"R (>= 3.1.0)",NA,NA,"unitizer, knitr, rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.0"
"fastICA","fastICA","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.2-1",NA,"R (>= 3.0.0)",NA,NA,"MASS",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","3.5.0"
"fastmatch","fastmatch","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.1-0",NA,NA,NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","3.5.0"
"fBasics","fBasics","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","3042.89",NA,"R (>= 2.15.1), timeDate, timeSeries","stats, grDevices, graphics, methods, utils, MASS, spatial,
gss, stabledist",NA,"akima, RUnit, tcltk",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.0"
"fcuk","fcuk","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.1.21",NA,NA,"stringdist, purrr, magrittr, tibble",NA,"testthat, knitr, rmarkdown",NA,"GPL-3",NA,NA,NA,NA,"no","3.5.0"
"fda","fda","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","2.4.8",NA,"R (>= 2.10.0), splines, Matrix, graphics",NA,NA,"deSolve, R.matlab, quadprog, nlme, lattice, RCurl, zoo",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.5.0"
"feather","feather","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.3.1",NA,NA,"Rcpp, tibble, hms","Rcpp","testthat, dplyr",NA,"Apache License 2.0",NA,NA,NA,NA,"yes","3.5.0"
"ff","ff","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","2.2-14",NA,"R (>= 2.10.1), bit (>= 1.1-13), utils",NA,NA,"biglm",NA,"GPL-2 | file LICENSE",NA,NA,NA,NA,"yes","3.5.0"
"ffbase","ffbase","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.12.3",NA,"R (>= 2.12.0),ff(>= 2.2-11)","fastmatch, bit",NA,"testthat, parallel, LaF, biglm",NA,"GPL-3",NA,NA,NA,NA,"yes","3.5.0"
"fGarch","fGarch","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","3042.83",NA,"R (>= 2.15.1), timeDate, timeSeries, fBasics","fastICA, Matrix, graphics, methods, stats, utils",NA,"RUnit, tcltk",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.0"
"fields","fields","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","9.6",NA,"R (>= 3.0), methods, spam, maps",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.0"
"filehash","filehash","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","2.4-1",NA,"R (>= 3.0.0), methods",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.0"
"fit.models","fit.models","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.5-14",NA,NA,"lattice, stats",NA,"MASS",NA,"GPL",NA,NA,NA,NA,"no","3.5.0"
"flam","flam","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","3.2",NA,NA,"Rcpp (>= 0.11.6), MASS, graphics, grDevices, stats","Rcpp",NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.0"
"flashClust","flashClust","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.01-2",NA,"R (>= 2.3.0)",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,NA,"3.5.0"
"flexmix","flexmix","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","2.3-14",NA,"R (>= 2.15.0), lattice","graphics, grid, grDevices, methods, modeltools (>= 0.2-16),
nnet, stats, stats4",NA,"actuar, codetools, diptest, ellipse, gclus, glmnet, lme4 (>=
1.0), MASS, mgcv (>= 1.8-0), mlbench, mlogit, multcomp,
mvtnorm, SuppDists, survival",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.5.0"
"flextable","flextable","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.4.4",NA,NA,"stats,utils,grDevices, officer (>= 0.2.0), rmarkdown,
knitr,htmltools, R6,stringr, gdtools (>= 0.1.6)",NA,"xml2, testthat, xtable",NA,"GPL-3",NA,NA,NA,NA,"no","3.5.0"
"fmsb","fmsb","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.6.3",NA,"R (>= 2.2.0)",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.5.0"
"FMStable","FMStable","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.1-2",NA,NA,NA,NA,NA,NA,"GPL-3",NA,NA,NA,NA,NA,"3.5.0"
"FNN","FNN","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.1",NA,"R (>= 2.8.0)",NA,NA,"chemometrics, mvtnorm",NA,"GPL (>= 2.1)",NA,NA,NA,NA,"yes","3.5.0"
"fontBitstreamVera","fontBitstreamVera","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.1.1",NA,"R (>= 3.0.0)",NA,NA,NA,NA,"file LICENCE","yes",NA,NA,NA,"no","3.5.0"
"fontcm","fontcm","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.1",NA,"R (>= 2.14)",NA,NA,"extrafont",NA,"GPL-2",NA,NA,NA,NA,"no","3.5.0"
"fontLiberation","fontLiberation","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.1.0",NA,"R (>= 3.0)",NA,NA,NA,NA,"file LICENSE","yes",NA,NA,NA,"no","3.5.0"
"fontquiver","fontquiver","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.2.1",NA,"R (>= 3.0.0)","fontBitstreamVera (>= 0.1.0), fontLiberation (>= 0.1.0)",NA,"testthat, htmltools",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","3.5.0"
"forcats","forcats","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.3.0",NA,"R (>= 3.1)","magrittr, rlang, tibble",NA,"covr, ggplot2, testthat",NA,"GPL-3",NA,NA,NA,NA,"no","3.5.0"
"foreach","foreach","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.4.4",NA,"R (>= 2.5.0)","codetools, utils, iterators",NA,"randomForest","compiler, doMC, RUnit, doParallel","Apache License (== 2.0)",NA,NA,NA,NA,"no","3.5.0"
"forecast","forecast","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","8.4",NA,"R (>= 3.0.2),","colorspace, fracdiff, ggplot2 (>= 2.2.1), graphics, lmtest,
magrittr, nnet, parallel, Rcpp (>= 0.11.0), stats, timeDate,
tseries, urca, uroot, zoo","Rcpp (>= 0.11.0), RcppArmadillo (>= 0.2.35)","expsmooth, knitr, rmarkdown, rticles, testthat",NA,"GPL-3",NA,NA,NA,NA,"yes","3.5.0"
"foreign","foreign","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.8-70","recommended","R (>= 3.0.0)","methods, utils, stats",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.1"
"formatR","formatR","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.5",NA,"R (>= 3.0.2)",NA,NA,"codetools, shiny, testit, rmarkdown, knitr",NA,"GPL",NA,NA,NA,NA,"no","3.5.0"
"formattable","formattable","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.2.0.1",NA,"R (> 3.0.2)","methods, htmltools, htmlwidgets, knitr, rmarkdown",NA,"testthat, DT, shiny, covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.0"
"Formula","Formula","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.2-3",NA,"R (>= 2.0.0), stats",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","3.5.0"
